,ID,NOMBRE,ID_COLINDANTE,NOMBRE_COLINDANTE
0,060603,CHOROS,060606,PIMPINGOS
1,060603,CHOROS,060615,TORIBIO CASANOVA
2,060603,CHOROS,060801,JAEN
3,060603,CHOROS,060802,BELLAVISTA
4,060603,CHOROS,060804,COLASAY
5,060604,CUJILLO,060605,LA RAMADA
6,060604,CUJILLO,060613,SANTO TOMAS
7,060604,CUJILLO,060609,SAN JUAN DE CUTERVO
8,060604,CUJILLO,060414,PION
9,060605,LA RAMADA,060604,CUJILLO
10,060605,LA RAMADA,060609,SAN JUAN DE CUTERVO
11,060605,LA RAMADA,060610,SAN LUIS DE LUCMA
12,060605,LA RAMADA,060414,PION
13,060606,PIMPINGOS,060603,CHOROS
14,060606,PIMPINGOS,060613,SANTO TOMAS
15,060606,PIMPINGOS,060608,SAN ANDRES DE CUTERVO
16,060606,PIMPINGOS,060611,SANTA CRUZ
17,060606,PIMPINGOS,060615,TORIBIO CASANOVA
18,060606,PIMPINGOS,060804,COLASAY
19,060607,QUEROCOTILLO,060601,CUTERVO
20,060607,QUEROCOTILLO,060602,CALLAYUC
21,060607,QUEROCOTILLO,060612,SANTO DOMINGO DE LA CAPILLA
22,060607,QUEROCOTILLO,060808,PUCARA
23,060607,QUEROCOTILLO,060412,MIRACOSTA
24,060607,QUEROCOTILLO,060415,QUEROCOTO
25,060508,YONAN,061101,SAN MIGUEL
26,060508,YONAN,061113,UNION AGUA BLANCA
27,060508,YONAN,060507,TANTARICA
28,060508,YONAN,060503,CUPISNIQUE
29,060508,YONAN,061110,SAN GREGORIO
30,060601,CUTERVO,060607,QUEROCOTILLO
31,060601,CUTERVO,060602,CALLAYUC
32,060601,CUTERVO,060612,SANTO DOMINGO DE LA CAPILLA
33,060601,CUTERVO,060614,SOCOTA
34,060601,CUTERVO,060407,COCHABAMBA
35,060601,CUTERVO,060410,LAJAS
36,060601,CUTERVO,060404,CHIGUIRIP
37,060601,CUTERVO,060409,HUAMBOS
38,060601,CUTERVO,060401,CHOTA
39,060601,CUTERVO,060415,QUEROCOTO
40,060601,CUTERVO,060417,TACABAMBA
41,060602,CALLAYUC,060607,QUEROCOTILLO
42,060602,CALLAYUC,060601,CUTERVO
43,060602,CALLAYUC,060608,SAN ANDRES DE CUTERVO
44,060602,CALLAYUC,060611,SANTA CRUZ
45,060602,CALLAYUC,060612,SANTO DOMINGO DE LA CAPILLA
46,060602,CALLAYUC,060804,COLASAY
47,060602,CALLAYUC,060808,PUCARA
48,060613,SANTO TOMAS,060604,CUJILLO
49,060613,SANTO TOMAS,060606,PIMPINGOS
50,060613,SANTO TOMAS,060608,SAN ANDRES DE CUTERVO
51,060613,SANTO TOMAS,060609,SAN JUAN DE CUTERVO
52,060613,SANTO TOMAS,060615,TORIBIO CASANOVA
53,060701,BAMBAMARCA,060703,HUALGAYOC
54,060701,BAMBAMARCA,060413,PACCHA
55,060701,BAMBAMARCA,060419,CHALAMARCA
56,060701,BAMBAMARCA,060105,ENCAÑADA
57,060701,BAMBAMARCA,060304,HUASMIN
58,060701,BAMBAMARCA,060307,MIGUEL IGLESIAS
59,060701,BAMBAMARCA,060401,CHOTA
60,060608,SAN ANDRES DE CUTERVO,060606,PIMPINGOS
61,060608,SAN ANDRES DE CUTERVO,060602,CALLAYUC
62,060608,SAN ANDRES DE CUTERVO,060613,SANTO TOMAS
63,060608,SAN ANDRES DE CUTERVO,060609,SAN JUAN DE CUTERVO
64,060608,SAN ANDRES DE CUTERVO,060611,SANTA CRUZ
65,060608,SAN ANDRES DE CUTERVO,060612,SANTO DOMINGO DE LA CAPILLA
66,060608,SAN ANDRES DE CUTERVO,060614,SOCOTA
